Rank,Name,Rating,Link,Genre,Avg_Lunch,Avg_Dinner,Address,Station,Reviews,URL,Dinner Price,Lunch Price,Price,Price Range
338,YAKINIKU UGUISUDANIEN,3.88,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B339,"" "",""+""),""+"", SUBSTITUTE(F339,"" "",""+"")), ""Link"")","YAKINIKU (BBQ BEEF), HORUMON (BBQ OFFEL)",,7000.0,東京都台東区根岸1-5-15,UGUISUDANI,2875,https://tabelog.com/en/tokyo/A1311/A131104/13012243/,"JPY 6,000～JPY 7,999",-,7000.0,5k-10k
341,PONTA HONKE,3.88,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B342,"" "",""+""),""+"", SUBSTITUTE(F342,"" "",""+"")), ""Link"")","YOSHOKU (JAPANESE STYLE WESTERN CUISINE), TONKATSU (PORK CUTLET)",4500.0,5500.0,東京都台東区上野3-23-3,UENO HIROKOJI,1576,https://tabelog.com/en/tokyo/A1311/A131101/13003587/,"JPY 5,000～JPY 5,999","JPY 4,000～JPY 4,999",5500.0,5k-10k
353,BA SHUSENDOU,3.88,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B354,"" "",""+""),""+"", SUBSTITUTE(F354,"" "",""+"")), ""Link"")",BAR,,5500.0,東京都中央区銀座6-12-17 錦光ビル　Ｂ１Ｆ,HIGASHI GINZA,104,https://tabelog.com/en/tokyo/A1301/A130101/13014392/,"JPY 5,000～JPY 5,999",-,5500.0,5k-10k
382,WATABE,3.86,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B383,"" "",""+""),""+"", SUBSTITUTE(F383,"" "",""+"")), ""Link"")","UNAGI (EEL), SEAFOOD, JAPANESE CUISINE",5500.0,7000.0,東京都文京区小石川1-9-14 アトラスタワー小石川 1Ｆ,KASUGA,415,https://tabelog.com/en/tokyo/A1310/A131003/13042184/,"JPY 6,000～JPY 7,999","JPY 5,000～JPY 5,999",7000.0,5k-10k
400,UNAGIYA,3.85,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B401,"" "",""+""),""+"", SUBSTITUTE(F401,"" "",""+"")), ""Link"")",UNAGI (EEL),9000.0,9000.0,東京都豊島区南長崎5-18-17,HIGASHI NAGASAKI,836,https://tabelog.com/en/tokyo/A1321/A132101/13012445/,"JPY 8,000～JPY 9,999","JPY 8,000～JPY 9,999",9000.0,5k-10k
426,RESUTORAN KAMIYA,3.84,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B427,"" "",""+""),""+"", SUBSTITUTE(F427,"" "",""+"")), ""Link"")","YOSHOKU (JAPANESE STYLE WESTERN CUISINE), OMURICE (OMELETTE RICE)",4500.0,9000.0,東京都台東区根岸3-18-18,IRIYA,812,https://tabelog.com/en/tokyo/A1311/A131104/13003752/,"JPY 8,000～JPY 9,999","JPY 4,000～JPY 4,999",9000.0,5k-10k
438,LA STRADA,3.84,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B439,"" "",""+""),""+"", SUBSTITUTE(F439,"" "",""+"")), ""Link"")",SOBA (BUCKWHEAT NOODLES),,9000.0,東京都中野区本町2-41-2,NAKANO SAKAUE,259,https://tabelog.com/en/tokyo/A1319/A131903/13141774/,"JPY 8,000～JPY 9,999",-,9000.0,5k-10k
455,JAPANESE SPICE CURRY WACCA,3.83,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B456,"" "",""+""),""+"", SUBSTITUTE(F456,"" "",""+"")), ""Link"")",CURRY,1500.0,7000.0,東京都中央区八丁堀2-19-7 庄司ビル 1F,HATCHOBORI,728,https://tabelog.com/en/tokyo/A1302/A130203/13254664/,"JPY 6,000～JPY 7,999","JPY 1,000～JPY 1,999",7000.0,5k-10k
459,TORI SAWA,3.83,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B460,"" "",""+""),""+"", SUBSTITUTE(F460,"" "",""+"")), ""Link"")",YAKITORI (GRILLED CHICKEN SKEWERS),,7000.0,東京都江東区亀戸2-24-13,KAMEIDO,555,https://tabelog.com/en/tokyo/A1312/A131202/13135959/,"JPY 6,000～JPY 7,999",-,7000.0,5k-10k
520,ROYAL BAR,3.8,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B521,"" "",""+""),""+"", SUBSTITUTE(F521,"" "",""+"")), ""Link"")",BAR,3500.0,5500.0,東京都千代田区丸の内 1-1-1 パレスホテル東京 1F,OTEMACHI,146,https://tabelog.com/en/tokyo/A1302/A130201/13141138/,"JPY 5,000～JPY 5,999","JPY 3,000～JPY 3,999",5500.0,5k-10k
559,TORIKI,3.79,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B560,"" "",""+""),""+"", SUBSTITUTE(F560,"" "",""+"")), ""Link"")",YAKITORI (GRILLED CHICKEN SKEWERS),,9000.0,東京都墨田区錦糸1-8-13 小坂ビル1階,KINSHICHO,909,https://tabelog.com/en/tokyo/A1312/A131201/13026017/,"JPY 8,000～JPY 9,999",-,9000.0,5k-10k
628,BLESS,3.78,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B629,"" "",""+""),""+"", SUBSTITUTE(F629,"" "",""+"")), ""Link"")","YAKITORI (GRILLED CHICKEN SKEWERS), ITALIAN, CHICKEN DISHES",,9000.0,東京都江東区森下2-20-13,MORISHITA,474,https://tabelog.com/en/tokyo/A1312/A131201/13246437/,"JPY 8,000～JPY 9,999",-,9000.0,5k-10k
632,STAR BAR GINZA,3.78,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B633,"" "",""+""),""+"", SUBSTITUTE(F633,"" "",""+"")), ""Link"")","BAR, SHAVED ICE (SNOW CONE)",,5500.0,東京都中央区銀座1-5-13 三弘社ビル　Ｂ１Ｆ,GINZA ITCHOME,314,https://tabelog.com/en/tokyo/A1301/A130101/13002270/,"JPY 5,000～JPY 5,999",-,5500.0,5k-10k
633,HA GURUMA,3.78,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B634,"" "",""+""),""+"", SUBSTITUTE(F634,"" "",""+"")), ""Link"")",BAR,,5500.0,東京都新宿区若宮町16 塩谷ビル　２F,IIDABASHI,280,https://tabelog.com/en/tokyo/A1309/A130905/13045080/,"JPY 5,000～JPY 5,999",-,5500.0,5k-10k
640,GREEN GLASS,3.78,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B641,"" "",""+""),""+"", SUBSTITUTE(F641,"" "",""+"")), ""Link"")",SOBA (BUCKWHEAT NOODLES),1500.0,9000.0,東京都新宿区上落合3-28-9,OCHIAI,136,https://tabelog.com/en/tokyo/A1321/A132104/13196314/,"JPY 8,000～JPY 9,999","JPY 1,000～JPY 1,999",9000.0,5k-10k
